comparison_id,comparison_label,left_run_id,right_run_id,metric,n_overlap,left_rate,right_rate,delta,delta_pct,improved_count,degraded_count,tied_count,discordant_count,mcnemar_p,significant_0_05
few_shot_gain_base,Few-shot gain (Base: k=0 -> k=3),baseline_k0,baseline_k3,va,200,0.875,0.895,0.020000000000000018,2.0000000000000018,11,7,182,18,0.480682373046875,0
few_shot_gain_base,Few-shot gain (Base: k=0 -> k=3),baseline_k0,baseline_k3,em,200,0.0,0.355,0.355,35.5,71,0,129,71,1.2596743309903347e-12,1
few_shot_gain_base,Few-shot gain (Base: k=0 -> k=3),baseline_k0,baseline_k3,ex,200,0.485,0.61,0.125,12.5,33,8,159,41,0.00011222142620681552,1
few_shot_gain_qlora,Few-shot gain (QLoRA: k=0 -> k=3),qlora_k0,qlora_k3,va,200,0.865,0.87,0.0050000000000000044,0.5000000000000004,6,5,189,11,1.0,0
few_shot_gain_qlora,Few-shot gain (QLoRA: k=0 -> k=3),qlora_k0,qlora_k3,em,200,0.03,0.35,0.31999999999999995,31.999999999999996,65,1,134,66,2.6307135723296904e-13,1
few_shot_gain_qlora,Few-shot gain (QLoRA: k=0 -> k=3),qlora_k0,qlora_k3,ex,200,0.455,0.55,0.09500000000000003,9.500000000000004,23,4,173,27,0.000310748815536499,1
qlora_gain_k0,Fine-tune gain (k=0: Base -> QLoRA),baseline_k0,qlora_k0,va,200,0.875,0.865,-0.010000000000000009,-1.0000000000000009,6,8,186,14,0.79052734375,0
qlora_gain_k0,Fine-tune gain (k=0: Base -> QLoRA),baseline_k0,qlora_k0,em,200,0.0,0.03,0.03,3.0,6,0,194,6,0.03125,1
qlora_gain_k0,Fine-tune gain (k=0: Base -> QLoRA),baseline_k0,qlora_k0,ex,200,0.485,0.455,-0.02999999999999997,-2.9999999999999973,10,16,174,26,0.32693958282470703,0
qlora_gain_k3,Fine-tune gain (k=3: Base -> QLoRA),baseline_k3,qlora_k3,va,200,0.895,0.87,-0.025000000000000022,-2.500000000000002,4,9,187,13,0.266845703125,0
qlora_gain_k3,Fine-tune gain (k=3: Base -> QLoRA),baseline_k3,qlora_k3,em,200,0.355,0.35,-0.0050000000000000044,-0.5000000000000004,9,10,181,19,1.0,0
qlora_gain_k3,Fine-tune gain (k=3: Base -> QLoRA),baseline_k3,qlora_k3,ex,200,0.61,0.55,-0.05999999999999994,-5.999999999999995,10,22,168,32,0.050102459732443094,0
react_vs_base_k3,Execution infra effect (Base k=3 -> ReAct),baseline_k3,react_exec,va,20,0.95,0.95,0.0,0.0,1,1,18,2,1.0,0
react_vs_base_k3,Execution infra effect (Base k=3 -> ReAct),baseline_k3,react_exec,em,20,0.2,0.35,0.14999999999999997,14.999999999999996,4,1,15,5,0.375,0
react_vs_base_k3,Execution infra effect (Base k=3 -> ReAct),baseline_k3,react_exec,ex,20,0.7,0.55,-0.1499999999999999,-14.999999999999991,0,3,17,3,0.25,0
